OBJECTNUMMER;Adres;Postcode;STADSDEEL_CODE;GEBIED22_CODE;Gebouwnaam;Bruto_vloeroppervlak;Leegstand_bvo;Leegstand_perc;Huidige_functie;Toekomstige_functie;Transformatiefase;Transformatiewijze;Startbouw;Aantal_woningen;Website;COORDS;LNG;LAT;
43;"Transformatorweg 30";"1014AK";"E";"DX04";"";2147;0;0;"Bedrijf";"Wonen - Hotel";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";0;0;"";"POINT(4.851642 52.392328)";"4,851642";"52,392328";
45;"Transformatorweg 74-112";"1014AK";"E";"DX04";"De west";11800;6600;55;"Kantoor";"Kantoor";"2 - In onderzoek - voorbereiding";"E - Transformatiewijze nader te bepalen";0;0;"";"POINT(4.847833 52.392679)";"4,847833";"52,392679";
48;"Contactweg 145-153";"1014BJ";"B";"Dxxx";"Dynamic center";2200;1800;81;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.85248 52.39839)";"4,85248";"52,39839";
49;"Haarlemmerweg 506";"1014BL";"E";"DX04";"ING kantoren";65000;0;0;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2016;84;"";"POINT(4.854670 52.385662)";"4,854670";"52,385662";
50;"Haarlemmerweg 512";"1014BL";"E";"DX04";"ING kantoren";19619;12500;64;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"C - Verbouw andere functie";2019;300;"";"POINT(4.852972 52.385584)";"4,852972";"52,385584";
51;"Haarlemmerweg 520";"1014BL";"E";"DX04";"ING kantoren";65000;0;0;"Kantoor";"Wonen";"2 - In onderzoek - voorbereiding";"B - Sloop - Nieuwbouw";2019;300;"";"POINT(4.851065 52.385432)";"4,851065";"52,385432";
53;"Zekeringstraat 32-34";"1014BS";"B";"Dxxx";"Alpha towers";4900;3250;66;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"http://www.rabobankpensioenfonds.nl";"POINT(4.852059 52.396761)";"4,852059";"52,396761";
54;"Zekeringstraat 41-43";"1014BV";"B";"Dxxx";"Omega park";3000;300;11;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.850101 52.395871)";"4,850101";"52,395871";
57;"Herengracht 54";"1015BN";"A";"DX01";"Sardinia";1900;1900;100;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.890179 52.377684)";"4,890179";"52,377684";
58;"Keizersgracht 121";"1015CJ";"A";"DX01";"De sterre";1600;1600;100;"Kantoor";"Kantoor";"1 - Leegstand zonder transformatie";"X - Leegstand zonder transformatie";0;0;"";"POINT(4.887519 52.376532)";"4,887519";"52,376532";
